Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posicion,Seleccion,Partidos Internacionales,Goles,Valor Mercado,Ultima Revision,Pie,Agente,Proveedor
Valentín Barco,Sevilla FC,LaLiga,23/08/2024,30/06/2025,23/07/2004 (20),25 de Mayo,Argentina,"1,70 m",Lateral izquierdo,Argentina,1,0,"10,00 mill. €",11/10/2024,Izquierdo,Agente no encontrado,adidas
Adrià Pedrosa,Sevilla FC,LaLiga,01/07/2023,30/06/2028,13/05/1998 (26),Barcelona,España,"1,72 m",Lateral izquierdo,Selección no encontrada,9,2,"6,00 mill. €",07/06/2024,Izquierdo,CAA Base Ltd,Proveedor no encontrado
Juanlu Sánchez,Sevilla FC,LaLiga,01/07/2022,30/06/2026,15/08/2003 (21),Montequinto,España,"1,86 m",Lateral derecho,España S21,3,0,"15,00 mill. €",07/06/2024,Derecho,Promoesport,Nike
Gonzalo Montiel,Sevilla FC,LaLiga,13/08/2021,30/06/2026,01/01/1997 (27),González Catán,Argentina,"1,75 m",Lateral derecho,Argentina,33,1,"8,00 mill. €",11/10/2024,Derecho,Interplayers,Proveedor no encontrado
José Ángel Carmona,Sevilla FC,LaLiga,01/07/2022,30/06/2025,29/01/2002 (22),El Viso del Alcor,España,"1,84 m",Lateral derecho,España S21,2,0,"5,00 mill. €",11/10/2024,Derecho,380amk,Proveedor no encontrado
Jesús Navas,Sevilla FC,LaLiga,01/08/2017,31/12/2024,21/11/1985 (38),Los Palacios y ...,España,"1,70 m",Lateral derecho,Selección no encontrada,56,5,"2,50 mill. €",07/06/2024,Derecho,Bahía Internacional,New Balance
Lucien Agoumé,Sevilla FC,LaLiga,06/08/2024,30/06/2028,09/02/2002 (22),Yaoundé,Francia,"1,85 m",Pivote,Francia S21,0,0,"6,00 mill. €",07/06/2024,Derecho,ND SPORTS MANAGEMENT,Proveedor no encontrado
Albert Sambi Lokonga,Sevilla FC,LaLiga,15/07/2024,30/06/2025,22/10/1999 (24),Verviers,Bélgica,"1,83 m",Mediocentro,Selección no encontrada,1,0,"12,00 mill. €",11/10/2024,Derecho,Stirr Associates,Proveedor no encontrado
Djibril Sow,Sevilla FC,LaLiga,04/08/2023,30/06/2028,06/02/1997 (27),Zürich,Suiza,"1,84 m",Mediocentro,Selección no encontrada,41,0,"7,50 mill. €",11/10/2024,Derecho,Signature - ISCM AG,Puma
Saúl Ñíguez,Sevilla FC,LaLiga,15/07/2024,30/06/2025,21/11/1994 (29),Elche,España,"1,84 m",Mediocentro,Selección no encontrada,19,3,"5,00 mill. €",11/10/2024,Izquierdo,CAA Stellar,Nike
Manu Bueno,Sevilla Atl.,Primera Federación - Gr. 2,01/11/2022,30/06/2026,27/07/2004 (20),Jerez de la Frontera,España,"1,78 m",Mediocentro,Selección no encontrada,0,0,500 mil €,14/10/2024,Izquierdo,YOU FIRST,Proveedor no encontrado
Pedro Ortiz,Sevilla FC,LaLiga,01/07/2024,30/06/2025,19/08/2000 (24),Palma de Mallorca,España,"1,84 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,06/06/2024,Izquierdo,MagicPlayers,Proveedor no encontrado
Chidera Ejuke,Sevilla FC,LaLiga,01/07/2024,30/06/2027,02/01/1998 (26),Zaria,Nigeria,"1,76 m",Extremo izquierdo,Nigeria,8,0,"6,00 mill. €",04/06/2024,Derecho,Aneke/PMG,Nike
Dodi Lukébakio,Sevilla FC,LaLiga,24/08/2023,30/06/2028,24/09/1997 (27),Brussels,Bélgica,"1,87 m",Extremo derecho,Bélgica,22,2,"12,00 mill. €",07/06/2024,Izquierdo,Stirr Associates,Nike
Suso,Sevilla FC,LaLiga,21/07/2020,30/06/2025,19/11/1993 (30),Cádiz,España,"1,77 m",Extremo derecho,Selección no encontrada,5,0,"3,00 mill. €",11/10/2024,Izquierdo,Promoesport,Proveedor no encontrado
Peque Fernández,Sevilla FC,LaLiga,11/07/2024,30/06/2028,04/10/2002 (22),L'Hospitalet de ...,España,"1,72 m",Mediapunta,España S21,2,1,"5,00 mill. €",11/10/2024,Derecho,JV SPORTS,Proveedor no encontrado
Isaac Romero,Sevilla FC,LaLiga,11/01/2024,30/06/2028,18/05/2000 (24),Lebrija,España,"1,84 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"18,00 mill. €",07/06/2024,Izquierdo,Promoesport,Proveedor no encontrado
Kelechi Iheanacho,Sevilla FC,LaLiga,31/07/2024,30/06/2026,03/10/1996 (28),Imo,Nigeria,"1,85 m",Delantero centro,Nigeria,55,15,"9,00 mill. €",11/10/2024,Izquierdo,ROGON,Nike
Álvaro Valles,UD Las Palmas,LaLiga,01/07/2019,30/06/2025,25/07/1997 (27),La Rinconada,España,"1,91 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"7,50 mill. €",11/10/2024,Derecho,YOU FIRST,Proveedor no encontrado
Dinko Horkas,UD Las Palmas,LaLiga,01/07/2024,30/06/2028,10/03/1999 (25),Sisak,Croacia,"1,89 m",Portero,Selección no encontrada,1,0,"1,20 mill. €",03/06/2024,Derecho,Top Sport Medium,Proveedor no encontrado
Jasper Cillessen,UD Las Palmas,LaLiga,01/07/2024,30/06/2026,22/04/1989 (35),Nijmegen,Países Bajos,"1,87 m",Portero,Selección no encontrada,65,0,"1,00 mill. €",11/10/2024,Derecho,SEG,Mizuno
Mika Mármol,UD Las Palmas,LaLiga,11/08/2023,30/06/2026,01/07/2001 (23),Terrassa,España,"1,81 m",Defensa central,Selección no encontrada,5,0,"15,00 mill. €",07/06/2024,Izquierdo,TACTIC GRUP - ...,Proveedor no encontrado
Scott McKenna,UD Las Palmas,LaLiga,08/08/2024,30/06/2027,12/11/1996 (27),Kirriemuir,Escocia,"1,89 m",Defensa central,Escocia,37,1,"9,00 mill. €",10/06/2024,Izquierdo,Wasserman,Proveedor no encontrado
Alex Suárez,UD Las Palmas,LaLiga,01/07/2019,30/06/2026,18/03/1993 (31),Las Palmas de Gran ...,España,"1,80 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",07/06/2024,Derecho,Wasserman,Proveedor no encontrado
Juanma Herzog,Información no encontrada,Información no encontrada,Información no encontrada,Información no encontrada,13/05/2004 (20),Santa Cruz de ...,España,"1,86 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",07/06/2024,Derecho,BOIM FOOTBALL ...,Proveedor no encontrado
Álex Muñoz,UD Las Palmas,LaLiga,01/07/2024,30/06/2026,30/07/1994 (30),Sant Joan d'Alacant,España,"1,87 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",24/06/2024,Izquierdo,JV SPORTS,Proveedor no encontrado
Daley Sinkgraven,UD Las Palmas,LaLiga,11/07/2023,30/06/2025,04/07/1995 (29),Assen,Países Bajos,"1,79 m",Lateral izquierdo,Selección no encontrada,5,0,"1,00 mill. €",07/06/2024,Izquierdo,V4S,Nike
Marvin Park,UD Las Palmas,LaLiga,01/07/2024,30/06/2028,03/07/2000 (24),Palma de Mallorca,España,"1,77 m",Lateral derecho,Selección no encontrada,1,0,"2,00 mill. €",07/06/2024,Derecho,CAA Base Ltd,Proveedor no encontrado
Viti Rozada,UD Las Palmas,LaLiga,01/07/2024,30/06/2027,16/09/1997 (27),Pola de Laviana,España,"1,72 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,50 mill. €",24/06/2024,Derecho,Football Promotions ...,Proveedor no encontrado
Dário Essugo,UD Las Palmas,LaLiga,30/08/2024,30/06/2025,14/03/2005 (19),Lisboa,Portugal,"1,78 m",Pivote,Portugal S21,5,0,"3,50 mill. €",06/06/2024,Derecho,Promoesport,Nike
Enzo Loiodice,UD Las Palmas,LaLiga,18/08/2020,30/06/2026,27/11/2000 (23),Paris,Francia,"1,77 m",Mediocentro,Selección no encontrada,1,0,"4,00 mill. €",07/06/2024,Izquierdo,2SAgency,Proveedor no encontrado
Javi Muñoz,UD Las Palmas,LaLiga,01/07/2023,30/06/2025,28/02/1995 (29),Parla,España,"1,77 m",Mediocentro,Selección no encontrada,0,0,"3,00 mill. €",07/06/2024,Derecho,Gesport Espizua SL,Proveedor no encontrado
José Campaña,UD Las Palmas,LaLiga,14/02/2024,30/06/2025,31/05/1993 (31),Sevilla,España,"1,79 m",Mediocentro,Selección no encontrada,1,0,"1,50 mill. €",07/06/2024,Derecho,Niagara Sur,Nike
Fabio González,UD Las Palmas,LaLiga,01/07/2019,30/06/2025,12/02/1997 (27),Ingenio,España,"1,76 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,07/06/2024,Derecho,Ivan Cristovinho,Proveedor no encontrado
Alberto Moleiro,UD Las Palmas,LaLiga,01/07/2021,30/06/2026,30/09/2003 (21),Santa Cruz de ...,España,"1,71 m",Mediocentro ofensivo,España S21,5,0,"20,00 mill. €",11/10/2024,Derecho,BOIM FOOTBALL ...,Proveedor no encontrado
Kirian Rodríguez,UD Las Palmas,LaLiga,01/07/2019,30/06/2028,05/03/1996 (28),Santa Cruz de ...,España,"1,78 m",Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"12,00 mill. €",07/06/2024,Derecho,Wasserman,Proveedor no encontrado
Iván Gil,UD Las Palmas,LaLiga,01/07/2024,30/06/2027,18/01/2000 (24),Viladecans,España,"1,68 m",Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",24/06/2024,Derecho,FUTBOL21 AGENCY,Proveedor no encontrado
Manu Fuster,UD Las Palmas,LaLiga,01/07/2024,30/06/2028,22/10/1997 (26),Valencia,España,"1,69 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,40 mill. €",24/06/2024,Derecho,Identity Sports,Proveedor no encontrado
Pejiño,UD Las Palmas,LaLiga,27/08/2020,30/06/2026,29/07/1996 (28),Barbate (Cádiz),España,"1,78 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",07/06/2024,Izquierdo,ELITE INTERNACIONAL ...,Proveedor no encontrado
Benito Ramírez,UD Las Palmas,LaLiga,01/07/2018,30/06/2025,11/07/1995 (29),La Aldea de San ...,España,"1,79 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,07/06/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Adnan Januzaj,UD Las Palmas,LaLiga,24/07/2024,30/06/2025,05/02/1995 (29),Brussel,Bélgica,"1,86 m",Extremo derecho,Selección no encontrada,15,1,"2,00 mill. €",07/06/2024,Izquierdo,Promoesport,Nike
Fábio Silva,UD Las Palmas,LaLiga,30/08/2024,30/06/2025,19/07/2002 (22),Porto,Portugal,"1,85 m",Delantero centro,Portugal S21,25,14,"11,00 mill. €",30/05/2024,Derecho,STV,Nike
Oli McBurnie,UD Las Palmas,LaLiga,25/07/2024,30/06/2027,04/06/1996 (28),Leeds,Escocia,"1,88 m",Delantero centro,Selección no encontrada,17,0,"4,50 mill. €",27/05/2024,Derecho,CAA Stellar,Proveedor no encontrado
Sandro Ramírez,UD Las Palmas,LaLiga,01/07/2023,30/06/2026,09/07/1995 (29),Las Palmas de Gran ...,España,"1,74 m",Delantero centro,Selección no encontrada,7,1,"1,50 mill. €",07/06/2024,Derecho,Wasserman,Proveedor no encontrado
Marc Cardona,UD Las Palmas,LaLiga,07/07/2022,30/06/2026,08/07/1995 (29),Lleida,España,"1,82 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,40 mill. €",07/06/2024,Derecho,Sp international,Nike
Jaime Mata,UD Las Palmas,LaLiga,01/07/2024,30/06/2025,24/10/1988 (35),Madrid,España,"1,86 m",Delantero centro,Selección no encontrada,1,0,900 mil €,07/06/2024,Derecho,Antonio López ...,Proveedor no encontrado
Sergio Herrera,CA Osasuna,LaLiga,12/07/2017,30/06/2026,05/06/1993 (31),Miranda de Ebro,España,"1,92 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"6,00 mill. €",07/06/2024,Derecho,YOU FIRST,Proveedor no encontrado
Aitor Fernández,CA Osasuna,LaLiga,02/07/2022,30/06/2025,03/05/1991 (33),Arrasate,España,"1,82 m",Portero,Selección no encontrada,3,0,"1,80 mill. €",07/06/2024,Derecho,Sports and ...,Proveedor no encontrado
Enzo Boyomo,CA Osasuna,LaLiga,29/08/2024,30/05/2029,07/10/2001 (23),Toulouse,Camerún,"1,84 m",Defensa central,Camerún,0,0,"10,00 mill. €",11/10/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Jorge Herrando,CA Osasuna,LaLiga,01/07/2023,30/06/2027,28/02/2001 (23),Pamplona,España,"1,92 m",Defensa central,Selección no encontrada,4,0,"6,00 mill. €",07/06/2024,Izquierdo,IDUB GLOBAL,Proveedor no encontrado
Alejandro Catena,CA Osasuna,LaLiga,01/07/2023,30/06/2028,28/10/1994 (29),Móstoles,España,"1,94 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"4,00 mill. €",07/06/2024,Derecho,Universal Sport,Proveedor no encontrado
Unai García,CA Osasuna,LaLiga,01/07/2015,30/06/2025,03/02/1992 (32),Esquiroz,España,"1,86 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",07/06/2024,Derecho,Global Ases,Proveedor no encontrado
Abel Bretones,CA Osasuna,LaLiga,05/07/2024,30/06/2029,21/08/2000 (24),Langreo,España,"1,88 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"3,00 mill. €",11/10/2024,Izquierdo,MRH Football Agency,Proveedor no encontrado
Juan Cruz,CD Leganés,LaLiga,01/07/2024,30/06/2028,25/04/2000 (24),Quilmes,España,"1,80 m",Extremo derecho,Selección no encontrada,1,0,"3,00 mill. €",11/10/2024,Izquierdo,Promoesport,Proveedor no encontrado
Jesús Areso,CA Osasuna,LaLiga,01/07/2021,30/06/2026,02/07/1999 (25),Cascante,España,"1,82 m",Lateral derecho,Selección no encontrada,2,0,"7,50 mill. €",07/06/2024,Derecho,Global Ases,Proveedor no encontrado
Rubén Peña,CA Osasuna,LaLiga,01/07/2022,30/06/2025,18/07/1991 (33),Ávila,España,"1,70 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,20 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Nacho Vidal,CA Osasuna,LaLiga,13/07/2018,30/06/2025,24/01/1995 (29),El Campello,España,"1,80 m",Lateral derecho,Selección no encontrada,2,0,"2,00 mill. €",07/06/2024,Derecho,Promoesport,Proveedor no encontrado
Iker Muñoz,CA Osasuna,LaLiga,01/07/2023,30/06/2027,05/09/2002 (22),Villafranca,España,"1,80 m",Pivote,Selección no encontrada,2,0,"5,00 mill. €",07/06/2024,Derecho,Global Ases,Proveedor no encontrado
Lucas Torró,CA Osasuna,LaLiga,04/08/2020,30/06/2027,19/07/1994 (30),Cocentaina,España,"1,90 m",Pivote,Selección no encontrada,3,0,"4,00 mill. €",07/06/2024,Derecho,Toldra Consulting ...,adidas
Jon Moncayola,CA Osasuna,LaLiga,01/07/2019,30/06/2031,13/05/1998 (26),Garinoain,España,"1,82 m",Mediocentro,Selección no encontrada,1,0,"7,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Pablo Ibáñez,CA Osasuna,LaLiga,01/07/2022,30/06/2025,20/09/1998 (26),Pamplona,España,"1,79 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,50 mill. €",07/06/2024,Derecho,7DS,Proveedor no encontrado
Aimar Oroz,CA Osasuna,LaLiga,01/07/2022,30/06/2029,27/11/2001 (22),Pamplona,España,"1,77 m",Mediocentro ofensivo,España,6,0,"15,00 mill. €",07/06/2024,Derecho,Bahía Internacional,Nike
Javi Martínez,CA Osasuna,LaLiga,01/07/2021,30/06/2026,22/12/1999 (24),Ólvega,España,"1,81 m",Mediocentro ofensivo,Selección no encontrada,4,0,"1,20 mill. €",24/06/2024,Derecho,Bahía Internacional,Proveedor no encontrado
Bryan Zaragoza,CA Osasuna,LaLiga,09/08/2024,30/06/2025,09/09/2001 (23),Málaga,España,"1,64 m",Extremo izquierdo,España,1,0,"12,00 mill. €",29/05/2024,Derecho,Agente no encontrado,Nike
Moi Gómez,CA Osasuna,LaLiga,28/07/2022,30/06/2027,23/06/1994 (30),Rojales,España,"1,76 m",Extremo izquierdo,Selección no encontrada,3,1,"3,50 mill. €",07/06/2024,Derecho,InterStarDeporte,Proveedor no encontrado
José Manuel Arnáiz,CA Osasuna,LaLiga,01/07/2023,30/06/2025,15/04/1995 (29),Talavera de la Reina,España,"1,73 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,00 mill. €",07/06/2024,Derecho,RR-Soccer ...,adidas
Rubén García,CA Osasuna,LaLiga,01/07/2019,30/06/2026,14/07/1993 (31),Xàtiva,España,"1,72 m",Extremo derecho,Selección no encontrada,1,0,"2,50 mill. €",07/06/2024,Izquierdo,Toldra Consulting ...,Proveedor no encontrado
Kike Barja,CA Osasuna,LaLiga,01/01/2018,30/06/2026,01/04/1997 (27),Noáin,España,"1,79 m",Extremo derecho,Selección no encontrada,0,0,"2,00 mill. €",07/06/2024,Derecho,YOU FIRST,Proveedor no encontrado
Iker Benito,CA Osasuna,LaLiga,01/07/2023,30/06/2027,10/08/2002 (22),Miranda de Ebro,España,"1,76 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,24/06/2024,Derecho,Global Ases,Proveedor no encontrado
Ante Budimir,CA Osasuna,LaLiga,01/07/2021,30/06/2027,22/07/1991 (33),Zenica,Croacia,"1,90 m",Delantero centro,Croacia,27,3,"5,00 mill. €",07/06/2024,Izquierdo,MG MEDIATOR TRANSFER,Proveedor no encontrado
Raúl García,CA Osasuna,LaLiga,10/08/2023,30/06/2028,03/11/2000 (23),Olesa de Montserrat,España,"1,92 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"4,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Dominik Greif,RCD Mallorca,LaLiga,06/07/2021,30/06/2026,06/04/1997 (27),Bratislava,Eslovaquia,"1,97 m",Portero,Selección no encontrada,4,0,"4,00 mill. €",11/10/2024,Derecho,Stars & Friends,Nike
Leo Román,RCD Mallorca,LaLiga,01/07/2022,30/06/2026,06/07/2000 (24),Ibiza,España,"1,89 m",Portero,Selección no encontrada,2,0,"1,80 mill. €",24/06/2024,Derecho,Antonio López ...,Proveedor no encontrado
Iván Cuéllar,RCD Mallorca,LaLiga,28/08/2023,30/06/2025,27/05/1984 (40),Mérida,España,"1,87 m",Portero,Selección no encontrada,3,0,100 mil €,07/06/2024,Izquierdo,MESAS SPORT,Proveedor no encontrado
Martin Valjent,RCD Mallorca,LaLiga,01/07/2019,30/06/2025,11/12/1995 (28),Dubnica nad Váhom,Eslovaquia,"1,87 m",Defensa central,Selección no encontrada,13,0,"6,00 mill. €",07/06/2024,Derecho,20 Sport,Proveedor no encontrado
José Copete,RCD Mallorca,LaLiga,01/07/2022,30/06/2026,10/10/1999 (25),Écija,España,"1,90 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,80 mill. €",07/06/2024,Izquierdo,YOU FIRST,Proveedor no encontrado
Siebe Van der Heyden,RCD Mallorca,LaLiga,18/07/2023,30/06/2028,30/05/1998 (26),Denderleeuw,Bélgica,"1,85 m",Defensa central,Selección no encontrada,1,0,"2,00 mill. €",07/06/2024,Izquierdo,KV Sports Management,Proveedor no encontrado
Antonio Raíllo,RCD Mallorca,LaLiga,01/07/2016,30/06/2026,08/10/1991 (33),Córdoba,España,"1,87 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,00 mill. €",07/06/2024,Pie no encontrado,Promoesport,Proveedor no encontrado
Toni Lato,RCD Mallorca,LaLiga,01/07/2023,30/06/2027,21/11/1997 (26),La Pobla de Vallbona,España,"1,71 m",Lateral izquierdo,Selección no encontrada,5,0,"3,50 mill. €",07/06/2024,Izquierdo,Toldra Consulting ...,Proveedor no encontrado
Johan Mojica,RCD Mallorca,LaLiga,23/07/2024,30/06/2027,21/08/1992 (32),Santiago de Cali,Colombia,"1,85 m",Lateral izquierdo,Colombia,33,1,"2,20 mill. €",07/06/2024,Izquierdo,LF Sport Management,Nike
Pablo Maffeo,RCD Mallorca,LaLiga,01/07/2022,30/06/2027,12/07/1997 (27),Sant Joan Despí,Argentina,"1,72 m",Lateral derecho,Selección no encontrada,0,0,"5,00 mill. €",07/06/2024,Derecho,Promoesport,Nike
Mateu Morey,RCD Mallorca,LaLiga,05/07/2024,30/06/2025,02/03/2000 (24),Palma de Mallorca,España,"1,73 m",Lateral derecho,Selección no encontrada,0,0,800 mil €,29/05/2024,Derecho,Goal Management,Proveedor no encontrado
Samú Costa,RCD Mallorca,LaLiga,10/08/2023,30/06/2028,27/11/2000 (23),Aveiro,Portugal,"1,85 m",Pivote,Portugal,1,0,"12,00 mill. €",11/10/2024,Izquierdo,Gestifute,Proveedor no encontrado
Omar Mascarell,RCD Mallorca,LaLiga,01/07/2023,30/06/2026,02/02/1993 (31),Santa Cruz de ...,Guinea Ecuatorial,"1,81 m",Pivote,Guinea Ecuat.,4,0,"1,00 mill. €",07/06/2024,Derecho,LEADERBROCK,adidas
Sergi Darder,RCD Mallorca,LaLiga,11/08/2023,30/06/2028,22/12/1993 (30),Artà,España,"1,80 m",Mediocentro,Selección no encontrada,4,0,"6,00 mill. €",07/06/2024,Derecho,LIAN Sports Group,Proveedor no encontrado
Manu Morlanes,RCD Mallorca,LaLiga,01/07/2023,30/06/2028,12/01/1999 (25),Zaragoza,España,"1,78 m",Mediocentro,Selección no encontrada,1,0,"2,50 mill. €",07/06/2024,Derecho,Goal Management,Proveedor no encontrado
Antonio Sánchez,RCD Mallorca,LaLiga,01/07/2018,30/06/2027,22/04/1997 (27),Palma de Mallorca,España,"1,79 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,50 mill. €",07/06/2024,Derecho,LIAN Sports Group,Proveedor no encontrado
Robert Navarro,RCD Mallorca,LaLiga,29/08/2024,30/06/2025,12/04/2002 (22),Barcelona,España,"1,78 m",Mediocentro ofensivo,España S21,7,3,"6,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Dani Rodríguez,RCD Mallorca,LaLiga,01/07/2018,30/06/2025,06/06/1988 (36),Betanzos,España,"1,78 m",Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",07/06/2024,Derecho,PROTIO SPORT,Puma
Chiquinho,RCD Mallorca,LaLiga,30/08/2024,30/06/2025,05/02/2000 (24),Cascais,Portugal,"1,79 m",Extremo izquierdo,Selección no encontrada,1,0,"3,00 mill. €",06/06/2024,Derecho,Quinas,Proveedor no encontrado
Javi Llabrés,RCD Mallorca,LaLiga,01/07/2022,30/06/2026,11/09/2002 (22),Binissalem,España,"1,74 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,07/06/2024,Ambidiestro,InterStarDeporte,Proveedor no encontrado
Takuma Asano,RCD Mallorca,LaLiga,06/07/2024,30/06/2026,10/11/1994 (29),"Komono, Mie",Japón,"1,73 m",Extremo derecho,Japón,53,9,"4,00 mill. €",29/05/2024,Derecho,JEB ENTERTAINMENT ...,adidas
Valery Fernández,RCD Mallorca,LaLiga,30/08/2024,30/06/2025,23/11/1999 (24),L'Escala,España,"1,82 m",Extremo derecho,Selección no encontrada,0,0,"2,50 mill. €",07/06/2024,Derecho,Unique Sports Group,Proveedor no encontrado
Vedat Muriqi,RCD Mallorca,LaLiga,22/07/2022,30/06/2027,24/04/1994 (30),Prizren,Kosovo,"1,94 m",Delantero centro,Kosovo,56,28,"12,00 mill. €",07/06/2024,Izquierdo,FutureBall,Proveedor no encontrado
Cyle Larin,RCD Mallorca,LaLiga,03/08/2023,30/06/2028,17/04/1995 (29),"Brampton, Ontario",Canadá,"1,88 m",Delantero centro,Canadá,75,29,"4,00 mill. €",07/06/2024,Derecho,Axia Sports ...,adidas
Abdón Prats,RCD Mallorca,LaLiga,04/07/2017,30/06/2026,07/12/1992 (31),Artà,España,"1,81 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,80 mill. €",07/06/2024,Izquierdo,Eugenio Botas ...,Proveedor no encontrado
Marc Domènech,RCD Mallorca,LaLiga,01/07/2024,30/06/2029,01/12/2006 (17),Llucmajor,España,Altura no encontrada,Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,11/10/2024,Pie no encontrado,Agente conocido - jugador menor de edad,Proveedor no encontrado
Antonio Sivera,Alavés,LaLiga,19/07/2017,30/06/2027,11/08/1996 (28),Xàbia,España,"1,85 m",Portero,Selección no encontrada,10,0,"6,00 mill. €",07/06/2024,Derecho,Wasserman,Proveedor no encontrado
Jesús Owono,Alavés,LaLiga,01/07/2022,30/06/2026,01/03/2001 (23),Bata,Guinea Ecuatorial,"1,81 m",Portero,Guinea Ecuat.,32,0,"1,00 mill. €",07/06/2024,Ambidiestro,Wasserman,Proveedor no encontrado
Abdel Abqar,Alavés,LaLiga,01/07/2022,30/06/2025,10/03/1999 (25),Settat,Marruecos,"1,88 m",Defensa central,Marruecos,3,0,"7,50 mill. €",07/06/2024,Derecho,11MANGMT,Proveedor no encontrado
Santiago Mouriño,Alavés,LaLiga,27/08/2024,30/06/2029,13/02/2002 (22),Montevideo,Uruguay,"1,86 m",Defensa central,Uruguay,0,0,"2,00 mill. €",11/10/2024,Derecho,After90Group,Proveedor no encontrado
Moussa Diarra,Alavés,LaLiga,18/07/2024,30/06/2028,10/11/2000 (23),Stains,Malí,"1,85 m",Defensa central,Malí,4,0,"2,00 mill. €",03/06/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Aleksandar Sedlar,Alavés,LaLiga,05/07/2022,30/06/2025,13/12/1991 (32),Novi Sad,Serbia,"1,80 m",Defensa central,Selección no encontrada,2,0,400 mil €,07/06/2024,Derecho,MIV GESTFUT,Proveedor no encontrado
Manu Sánchez,Alavés,LaLiga,23/07/2024,30/06/2025,24/08/2000 (24),Madrid,España,"1,71 m",Lateral izquierdo,Selección no encontrada,10,3,"6,00 mill. €",11/10/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Nahuel Tenaglia,Alavés,LaLiga,20/08/2023,30/06/2027,21/02/1996 (28),Saladillo,Argentina,"1,81 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,50 mill. €",11/10/2024,Derecho,Universal Twenty Two,Puma
Hugo Novoa,Alavés,LaLiga,22/07/2024,30/06/2029,24/01/2003 (21),Bertamiráns,España,"1,82 m",Lateral derecho,España S21,13,1,"2,50 mill. €",24/06/2024,Derecho,ROOF,Proveedor no encontrado
